product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_title,review_content,img_link,product_link
346,1158,10,399.0,1099.0,0.64,4.2,24269,474,623,522,817,881,604,1118,1308
848,134,10,199.0,349.0,0.43,4.0,43994,279,88,207,1025,7,413,1248,157
819,1023,10,199.0,1899.0,0.9,3.9,7928,1250,849,482,827,422,674,876,1160
643,1264,10,329.0,699.0,0.53,4.2,94363,1010,254,614,786,376,269,518,380
588,829,10,154.0,399.0,0.61,4.2,16905,1189,17,1139,114,44,120,1209,919
771,1328,10,149.0,1000.0,0.85,3.9,24871,399,210,428,961,604,518,277,1145
761,1271,10,176.63,499.0,0.65,4.1,15188,522,662,1040,969,642,123,1345,1412
614,658,10,229.0,299.0,0.23,4.3,30411,57,1162,631,637,1108,1122,176,728
15,1080,49,499.0,999.0,0.5,4.2,179691,1094,859,244,205,1089,434,1217,1216
515,133,10,199.0,299.0,0.33,4.0,43994,1109,88,207,1025,7,413,1226,153
589,834,10,154.0,339.0,0.55,4.3,13391,1187,891,969,12,298,884,197,929
262,1281,10,299.0,799.0,0.63,4.2,94363,1014,254,614,786,376,269,502,1032
356,101,89,219.0,700.0,0.69,4.4,426973,426,279,756,151,606,336,656,105
555,828,10,350.0,899.0,0.61,4.2,2262,1185,851,681,249,1094,149,120,914
939,830,10,159.0,399.0,0.6,4.1,4768,1189,304,296,341,517,608,1318,923
522,655,10,349.0,399.0,0.13,4.4,18757,54,830,264,513,401,391,909,748
1232,653,97,13999.0,24999.0,0.44,4.2,32840,669,1008,536,33,586,772,800,729
514,135,10,249.0,399.0,0.38,4.0,43994,280,88,207,1025,7,413,581,156
759,1285,10,199.0,499.0,0.6,4.1,13045,1080,372,765,428,296,137,1102,1395
615,573,97,13490.0,21990.0,0.39,4.3,11976,883,981,568,574,912,578,1409,651
877,325,10,970.0,1799.0,0.46,4.5,815,983,489,662,19,284,432,1023,368
550,1336,89,279.0,499.0,0.44,3.7,10962,975,196,1063,161,333,967,881,52
895,962,97,13490.0,22900.0,0.41,4.3,16299,887,1007,695,270,488,707,1132,1081
985,394,10,59.0,199.0,0.7,4.0,9378,623,1048,0,797,1076,1101,256,480
1138,46,97,11499.0,19990.0,0.42,4.3,4703,856,537,243,140,1074,54,610,43
197,1098,89,199.0,699.0,0.72,4.2,12153,559,866,1053,453,123,946,584,1202
579,738,97,14999.0,19999.0,0.25,4.2,34899,889,557,25,772,1126,966,1329,824
808,131,10,299.0,399.0,0.25,4.0,2766,182,595,164,365,774,931,1299,161
1074,324,10,970.0,1999.0,0.51,4.4,184,21,1192,105,313,1036,189,1276,398
261,1247,10,299.0,999.0,0.7,4.3,20850,63,361,355,156,624,691,634,21
92,109,10,199.0,750.0,0.73,4.5,74976,684,687,673,119,734,853,1295,102
880,127,10,179.0,499.0,0.64,4.0,1934,956,736,755,352,375,882,1050,149
708,1237,10,389.0,1099.0,0.65,4.3,974,1226,1083,671,598,511,672,380,303
14,985,10,599.0,599.0,0.0,4.3,355,1093,213,1006,654,453,125,826,1089
1198,1327,10,199.0,999.0,0.8,3.9,1075,1110,320,640,247,946,513,722,1456
770,1325,10,99.0,666.66,0.85,3.9,24871,398,210,428,961,604,520,906,1142
472,118,10,899.0,1900.0,0.53,4.4,13552,397,298,1050,343,497,219,73,92
1038,1022,10,199.0,999.0,0.8,4.0,576,1213,1144,188,1155,1112,476,1011,1159
1172,735,97,32999.0,45999.0,0.28,4.2,7298,864,703,48,509,159,334,802,817
876,322,10,970.0,1999.0,0.51,4.2,462,1113,1122,471,682,838,815,1098,372
91,110,10,209.0,695.0,0.7,4.5,107687,683,278,875,420,234,1027,312,128
933,672,97,19999.0,34999.0,0.43,4.3,27151,851,975,813,298,148,626,661,1447
345,1155,10,399.0,1099.0,0.64,4.2,24269,1196,623,522,817,881,604,1090,1306
354,1072,49,999.0,1599.0,0.38,4.3,12093,478,180,630,1126,178,170,1184,1209
986,370,10,59.0,199.0,0.7,4.0,9378,622,1048,0,797,1076,1101,270,446
471,1178,10,333.0,999.0,0.67,3.3,9792,946,26,100,1160,619,134,1291,1328
0,299,49,507.0,1208.0,0.58,4.1,8131,293,671,1126,461,1145,1149,44,358
137,76,89,309.0,475.0,0.35,4.4,426973,756,279,756,151,606,336,562,110
944,13,93,399.0,999.0,0.6,3.6,493,13,939,506,1149,801,713,838,15
234,117,10,199.0,395.0,0.5,4.2,92595,212,351,591,354,980,53,926,117
387,1068,49,1199.0,2199.0,0.45,4.4,24780,482,993,192,482,1084,339,6,1221
226,105,10,179.0,500.0,0.64,4.2,92595,624,351,591,354,980,53,917,115
519,107,10,799.0,2100.0,0.62,4.3,8188,153,574,219,246,339,474,236,122
372,1142,98,6999.0,12999.0,0.46,4.2,4003,885,446,137,1018,226,362,373,1296
1303,132,10,199.0,349.0,0.43,4.1,314,278,307,1030,1106,390,1188,1362,163
214,1088,93,230.0,499.0,0.54,3.7,2960,1112,201,415,1042,943,881,63,1196
13,1065,49,649.0,1399.0,0.54,4.2,179691,90,859,244,205,1089,434,642,1217
1018,739,97,15999.0,21999.0,0.27,4.2,34899,857,557,25,772,1126,966,747,825
1188,1179,10,348.0,1499.0,0.77,4.2,656,403,726,1127,375,721,298,1162,1334
587,831,10,154.0,349.0,0.56,4.3,7064,581,396,217,419,612,1107,929,917
281,62,93,179.0,799.0,0.78,3.7,2201,1049,97,632,865,890,661,1370,62
1131,956,97,32990.0,47900.0,0.31,4.3,7109,848,994,262,898,97,99,510,1096
855,587,10,139.0,999.0,0.86,4.0,1313,757,318,1136,1187,25,1168,54,674
173,115,10,329.0,845.0,0.61,4.2,29746,289,142,1091,737,617,676,1268,131
897,897,97,13999.0,24999.0,0.44,4.2,45238,877,658,1134,773,1123,1124,1274,1011
138,75,89,309.0,1400.0,0.78,4.4,426973,454,279,756,151,606,336,589,108
1019,832,10,263.0,699.0,0.62,4.1,450,1181,345,975,199,575,218,727,910
1269,47,98,7999.0,14990.0,0.47,4.3,457,881,580,21,803,994,809,764,42
276,680,94,1599.0,2999.0,0.47,4.2,2727,439,905,663,980,20,553,301,755
172,84,10,219.0,700.0,0.69,4.3,20053,285,1161,400,108,1134,740,844,126
1244,1321,10,349.0,899.0,0.61,4.5,149,1292,200,745,1004,591,506,613,1452
1224,226,10,349.0,599.0,0.42,4.1,210,389,708,842,396,500,1109,1321,268
1031,890,97,26999.0,42999.0,0.37,4.2,45238,841,658,1134,773,1123,1124,1373,1012
712,820,10,115.0,499.0,0.77,4.0,7732,1211,127,1015,624,1032,597,605,899
1036,1287,10,399.0,999.0,0.6,4.1,1780,1013,458,1107,1075,103,1131,636,1398
881,121,10,199.0,499.0,0.6,4.1,602,957,1033,370,734,384,749,282,139
1109,125,10,179.0,399.0,0.55,4.0,1423,401,850,54,973,235,174,920,147
1125,1060,97,10901.0,30990.0,0.65,4.1,398,878,527,605,976,438,179,810,1197
1159,947,10,209.0,499.0,0.58,3.9,536,1195,71,1024,535,1010,719,445,1060
1288,391,93,1434.0,3999.0,0.64,4.0,32,265,79,314,711,258,1117,93,211
369,1169,10,399.0,1099.0,0.64,4.2,24269,1193,623,522,817,881,605,1377,1305
987,393,10,139.0,249.0,0.44,4.0,9378,337,1048,0,797,1076,1103,1182,445
711,932,97,7299.0,19125.0,0.62,3.4,902,873,599,579,860,311,705,455,1136
827,1246,10,299.0,799.0,0.63,4.4,28791,135,996,1192,360,273,214,329,1393
319,1171,10,325.0,1299.0,0.75,4.2,10576,396,268,932,0,692,851,995,1314
